Code,New Code,Area,1996-97,1997-98,1998-99,1999-00,Jan-00,Feb-01,Mar-02,Apr-03,May-04,Jun-05,Jul-06,Aug-07,Sep-08,Oct-09,Nov-10,Dec-11,2012-13,2013-14,2014-15,2015-16,2016-17,2017-2018,2018-2019,2019-20,2020-21,2021-22
00AA,E09000001,City of London,55.34,55.82,56.83,58.58,58.7,60.43,63.12,65.54,68.36,66.7,65.39,69.98,73.07,75.34,76.64,83,90.16,112.15,100.69,104.73,105.66,104.62,100.51,103.08,106.01,107.87
00AB,E09000002,Barking and Dagenham,39.71,42.1,44.43,49.68,52.24,54.52,57.56,58.42,60.7,63.06,66.13,71.07,74.05,72.7,73.97,79.3,88.29,90.39,91.99,98.58,.,97.27,94.89,95.52,97.02,96.88
00AC,E09000003,Barnet,52.11,52.6,52.59,55.35,56.92,57.78,61.9,62.24,64.83,67.76,70.98,75.08,79.55,81.77,83.17,95.75,98.27,98.29,101.05,103.36,102.92,102.75,102.52,101.37,104.61,107.27
00AD,E09000004,Bexley,53.02,58.52,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,..,..,..
00AE,E09000005,Brent,69.81,69.05,70.37,72.59,72.81,74.48,74.15,74.28,77.03,79.87,78.64,83.32,86.83,87.48,88.35,95.08,104.52,112.81,114.53,113.62,112.71,113.66,113.25,112.66,116.07,120.29
00AF,E09000006,Bromley,42.72,42.72,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,..,..,..
00AG,E09000007,Camden,58.71,59.69,60.76,59.77,62.92,65.3,68.93,69.79,68.18,72.14,75.28,78.6,81.9,84.51,85.64,91.54,103.96,103.96,109.79,114.72,113.57,113.03,112.59,111.03,113.88,115.4
00AH,E09000008,Croydon,62.1,62.78,62.78,64.2,67.95,65.69,69.05,65.53,67.89,70.48,73.68,79.19,81.57,84.33,85.12,95.81,100.13,104.99,107.37,106.64,105.46,104.42,103.4,103.48,106.24,108.71
00AJ,E09000009,Ealing,59.17,58.72,59.11,60.85,63.26,65.82,67.77,64.2,66.52,69.01,73.68,77.45,78.67,82.02,82.02,86.14,92.89,92.45,95.19,97.45,96.47,95.81,95.83,95.46,98.34,100.12
00AK,E09000010,Enfield,51.98,52.79,53.5,55.55,57.93,62.75,65.74,64.87,66.72,69.05,72.05,76.93,79.1,81.06,81.27,86.3,92.44,96.1,102.75,101.78,100.97,100.38,101.06,100.97,104.28,106.25
00AL,E09000011,Greenwich,50.5,51.14,53.95,56.25,54.65,59,60.93,63.87,64.96,67.44,70.55,75.87,78.44,80.58,81.55,87.07,93.44,97.46,102.18,104.62,103.58,90.71,89.9,89.18,92,94.27
00AM,E09000012,Hackney,54.79,55.25,56.11,56.62,58.47,61.71,64.72,59.19,61.33,65,67.81,72.22,74.67,78.84,79.31,88.83,91.23,95,99.41,102.57,101.55,100.55,99.97,98.18,101.58,103.29
00AN,E09000013,Hammersmith and Fulham,53.77,54.26,56.18,57.98,59.13,61.37,63.97,64.8,68.02,71.19,74.6,81.42,82.78,85.3,86.42,92.19,92.6,99.31,106.29,109.44,108.34,107.94,107.48,104.02,106.87,109.3
00AP,E09000014,Haringey,57.54,56.02,58.96,58.94,60.48,62.14,65.32,62.83,65.44,68.74,72.14,76.95,79.71,82.53,83.43,87.5,94.02,98.48,103.27,107.12,106.44,105.56,104.63,103.72,104.78,106.83
00AQ,E09000015,Harrow,64.68,65.17,67.21,66.77,68.65,70.67,73.35,75.38,77.36,77.37,77.36,78.71,81.06,84,86.6,95.7,102.08,107.06,112.5,114.99,113.8,113.08,112.13,112.23,115.53,117.27
00AR,E09000016,Havering,44.59,44.95,45.18,46.83,48.26,49.21,52.67,53.43,55.19,55.73,58.59,62.71,66.39,68.45,69.73,75.03,81.23,86.79,90.64,90.64,98.23,98.15,.,96.5,100.62,102.87
00AS,E09000017,Hillingdon,63.24,64.2,65.28,66.71,68.8,70.82,72.4,74.13,76.06,78.07,80.88,84.28,86.09,88.71,89.98,95.22,101,104.53,110.62,109.99,108.95,108.05,109.02,108.48,111.47,113.67
00AT,E09000018,Hounslow,49.81,50.81,52.01,52.89,55.85,57.91,61.25,62.2,64.8,67.47,70.84,75.95,77.89,77.42,78.73,84.35,91.36,97.76,101.45,105.22,104.6,106.5,.,102.52,105.29,107.18
00AU,E09000019,Islington,56.16,57.16,58.36,60,62.32,64.46,68.59,67.08,67.09,70.41,73.92,79.01,81.59,84.42,85.86,92.07,100.49,105.84,111.85,115.91,116.45,116.55,117.3,117.77,121.17,122.6
00AW,E09000020,Kensington and Chelsea,68.72,68.72,68.16,68.17,68.15,70.23,74.01,77.91,79.69,79.47,79.41,82.52,86.93,89.79,90.86,96.99,120.33,111.66,118.56,123.91,123.06,122.15,121.14,119.96,123.19,125.18
00AX,E09000021,Kingston upon Thames,61.15,61.64,63.43,63.99,66.33,66.44,70.14,71.03,71.54,74.85,79.28,84.81,86.25,89.23,90.14,96.62,104.12,107,114.95,116.94,116.42,116.13,113.24,112.82,113.96,118.55
00AY,E09000022,Lambeth,49.56,54.01,55.24,57.72,59.88,61.63,62.52,66.07,67.85,69.89,73.78,69.76,72.85,82.22,85.18,98.18,98.12,102.12,107.06,110.18,108.06,107.73,106.93,105.47,108.17,110.28
00AZ,E09000023,Lewisham,46.73,48.9,49.82,52.15,55,57.03,59.16,58.45,61.57,64.44,67.52,70.9,74.64,76.67,77.01,81.67,87.38,95.91,98.45,98.12,96.34,95.53,94.63,91.52,95.04,95.3
00BA,E09000024,Merton,52.56,53.05,54.06,54.83,56.02,58.36,61.95,59.77,63.02,66.07,69.46,69.46,77.16,MYT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,85.5,100.92,100.92
00BB,E09000025,Newham,43.72,44.21,44.92,49.4,54.35,56.35,58.63,60.05,57.88,60.59,63.62,68.33,71.04,73.18,74.29,98.24,95.31,101,97.92,100.84,103.39,99.69,99.17,101.98,104.64,106.95
00BC,E09000026,Redbridge,65.89,66.36,67.56,67.65,69.14,70,68.27,68.05,70.35,71.79,74.42,79.31,81.4,83.6,83.79,89.25,98.72,102.82,105.11,104.7,105.59,104.76,105.26,104.85,108.8,111.59
00BD,E09000027,Richmond upon Thames,52.92,54.54,56.09,61.13,62.41,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,..,..,..
